age,share_need,share_informal,share_need_mig,share_informal_mig,share_with_care_needs_receiving_informal_care,share_with_care_needs_receiving_formal_care,share_with_care_needs_receiving_both_care,share_formal,share_formal_mig
1,NA,NA,NA,NA,NA,NA,NA,0.02074688796680498,0
2,NA,NA,NA,NA,NA,NA,NA,0.025688073394495414,0.14285714285714285
3,NA,NA,NA,NA,NA,NA,NA,0.0595903165735568,0.0625
4,NA,NA,NA,NA,NA,NA,NA,0.09712230215827339,0.1111111111111111
5,NA,NA,NA,NA,NA,NA,NA,0.11156186612576065,0.03636363636363636
6,NA,NA,NA,NA,NA,NA,NA,0.1017274472168906,0.05660377358490566
7,NA,NA,NA,NA,NA,NA,NA,0.11756168359941944,0.08641975308641975
8,NA,NA,NA,NA,NA,NA,NA,0.13510253317249699,0.11607142857142858
9,NA,NA,NA,NA,NA,NA,NA,0.16443361753958588,0.1259259259259259
10,NA,NA,NA,NA,NA,NA,NA,0.13024282560706402,0.1694915254237288
11,NA,NA,NA,NA,NA,NA,NA,0.1496232508073197,0.10071942446043165
12,NA,NA,NA,NA,NA,NA,NA,0.15160349854227406,0.1282051282051282
13,NA,NA,NA,NA,NA,NA,NA,0.14735945485519591,0.13872832369942195
14,NA,NA,NA,NA,NA,NA,NA,0.15020746887966804,0.18232044198895028
15,NA,NA,NA,NA,NA,NA,NA,0.14422310756972112,0.13812154696132597
16,0,0.06657580686849474,0,0.18538557565987146,NA,NA,NA,0.15151515151515152,0.22564102564102564
17,0,0.05159703955255343,0,0.026169717022236395,NA,NA,NA,0.15436746987951808,0.17560975609756097
18,0,0.1165157681316512,0,0,NA,NA,NA,0.14111747851002865,0.18781725888324874
19,0,0.05726602269235112,0,0,NA,NA,NA,0.15463165572574764,0.24056603773584906
20,0,0.08122751815917788,0,0,NA,NA,NA,0.1667844522968198,0.2330508474576271
21,0,0.10024423306459244,0,0.35621512362805635,NA,NA,NA,0.14381720430107528,0.21495327102803738
22,0,0.08146292129417781,0,0,NA,NA,NA,0.14986376021798364,0.32727272727272727
23,0,0.05228894276189356,0,0.011310843406505282,NA,NA,NA,0.13255360623781676,0.22549019607843138
24,0,0.0646177347872561,0,0,NA,NA,NA,0.15570934256055363,0.28
25,0,0.08131645506653963,0,0,NA,NA,NA,0.12248995983935743,0.28415300546448086
26,0,0.08196628897319068,0,0.1402425505577059,NA,NA,NA,0.15468549422336328,0.22821576763485477
27,0,0.05558272704088657,0,0.023250730461087967,NA,NA,NA,0.1513647642679901,0.22540983606557377
28,0,0.10595544264674357,0,0.09021223723203342,NA,NA,NA,0.13704206241519673,0.26732673267326734
29,0,0.08630911566693691,0,0.04093076382893751,NA,NA,NA,0.1338366506520247,0.2923076923076923
30,0,0.0905202620584331,0,0.04839792732494244,NA,NA,NA,0.15659140568099053,0.3302325581395349
31,0,0.10016032803561849,0,0.0160807880527388,NA,NA,NA,0.14011896893588896,0.22641509433962265
32,0,0.1236028740490649,0,0.1468834028998454,NA,NA,NA,0.1331081081081081,0.25380710659898476
33,0,0.18869499890240585,0,0.12609864226219572,NA,NA,NA,0.13799621928166353,0.2374429223744292
34,0,0.10173523258809593,0,0.23688728971891435,NA,NA,NA,0.1412639405204461,0.17982456140350878
35,0,0.12218266508592177,0,0.07896254045495157,NA,NA,NA,0.14113597246127366,0.1991869918699187
36,0,0.1678245008591067,0,0.10066389175150249,NA,NA,NA,0.13662456946039037,0.16806722689075632
37,0,0.0800311522041217,0,0.13265042873479582,NA,NA,NA,0.14761040532365396,0.20081967213114754
38,0,0.11202126589854816,0,0.03309850042049143,NA,NA,NA,0.1483279395900755,0.20363636363636364
39,0,0.12812063643267552,0,0.0919177523335662,NA,NA,NA,0.14863387978142076,0.16544117647058823
40,0,0.14390469326331035,0,0.09119241322303448,NA,NA,NA,0.16271373414230558,0.14915254237288136
41,0,0.14707957664056376,0,0.10484151184954588,NA,NA,NA,0.15812431842966193,0.13448275862068965
42,0,0.10639500511732557,0,0.10497058922900863,NA,NA,NA,0.16948228882833788,0.14790996784565916
43,0,0.16380551536646842,0,0.10743097855802676,NA,NA,NA,0.17608695652173914,0.11419753086419752
44,0,0.16658685863983372,0,0.10001320408290708,NA,NA,NA,0.1578641903656413,0.10661764705882353
45,0,0.16665820634773384,0,0.13939006749522517,NA,NA,NA,0.164375,0.14068441064638784
46,0,0.12675738174571297,0,0.17299689727527282,NA,NA,NA,0.1677762982689747,0.11507936507936507
47,0,0.16279481521762212,0,0.06122603452242831,NA,NA,NA,0.16819787985865725,0.10504201680672269
48,0,0.1843085051329242,0,0.15169341494173308,NA,NA,NA,0.1545524100994644,0.08415841584158416
49,0,0.15985277091517278,0,0.10230211581414896,NA,NA,NA,0.18,0.09178743961352658
50,0,0.19312278035285105,0,0.077312493304187,NA,NA,NA,0.1755868544600939,0.15508021390374332
51,0,0.16221773403372702,0,0.06702331945126709,NA,NA,NA,0.1638888888888889,0.09322033898305085
52,0,0.18133875879404057,0,0.05128762660749541,NA,NA,NA,0.15313935681470137,0.13
53,0,0.22208481892880855,0,0.1496522942315849,NA,NA,NA,0.10580912863070539,0.21568627450980393
54,0,0.2235079407578018,0,0.17941953760306278,NA,NA,NA,0.12413793103448276,0.18518518518518517
55,0,0.209401638414913,0,0.09089611610323434,NA,NA,NA,0.10094637223974763,0.15625
56,0,0.23826746220310774,0,0.20352450391191385,NA,NA,NA,0.1453287197231834,0.09523809523809523
57,0,0.23211063433845805,0,0.1744930194891805,NA,NA,NA,0.1527777777777778,0.1590909090909091
